hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000B8gO1QAJ,78.0,23.61,239165.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbmUAE
0034K00000BAy3KQAT,96.0,95.0,1238278.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbwUAE
0034K00000B8gOeQAJ,96.0,93.61,406821.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbsUAE
0034K00000B8gNrQAJ,100.0,89.4425,1041707.0,3.0,1.0,a0R4K0000020w2DUAQ,a0P4K0000012KbiUAE
0034K00000B8gNvQAJ,91.0,93.61,655482.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012Kl8UAE
0034K000009yExdQAE,96.0,94.445,744346.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbgUAE
0034K00000B8gOOQAZ,100.0,92.7775,696430.0,3.0,3.0,a0R4K0000020w2DUAQ,a0P4K0000012KbpUAE
0034K00000B8gOFQAZ,99.0,86.9425,606555.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KboUAE
0034K00000I8Q8EQAV,91.0,97.5,281336.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbjUAE
0034K00000BBF3vQAH,100.0,93.61,1264251.0,2.0,3.0,a0R4K0000020w2DUAQ,a0P4K0000012KbyUAE
0034K00000BBPB8QAP,90.0,91.945,566208.0,1.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012Kc0UAE
0034K00000BAy3DQAT,100.0,89.445,1024793.0,2.0,2.0,a0R4K0000020w2DUAQ,a0P4K0000012KbvUAE
0034K00000B8gOBQAZ,100.0,93.3325,1252406.0,3.0,3.0,a0R4K0000020w2DUAQ,a0P4K0000012KbnUAE
0034K00000B8gNoQAJ,96.0,83.335,82926.0,2.0,1.0,a0R4K0000020w2DUAQ,a0P4K0000012KbhUAE
0034K00000AApEBQA1,65.0,82.9175,72565.0,2.0,1.0,a0R4K0000020w2DUAQ,
