hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BAy34QAD,100.0,88.635,518086.0,1.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuzRUAS
0034K00000B8gO1QAJ,100.0,71.59,219604.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuzTUAS
0034K00000B8gOhQAJ,100.0,64.77,38278.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzUUAS
0034K00000B8gOQQAZ,100.0,81.82,310581.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzVUAS
0034K00000BAy3UQAT,100.0,96.59,903576.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K00000122vzUAA
0034K000009yddnQAA,100.0,45.455,46167.0,2.0,1.0,a0R4K000001z16cUAA,
0034K00000BAy2zQAD,100.0,73.86,86509.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzaUAC
0034K00000B8gO7QAJ,100.0,64.775,391420.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzfUAC
0034K00000AAqO5QAL,100.0,67.045,327024.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzgUAC
0034K00000BAy3KQAT,100.0,78.41,533851.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuzhUAC
0034K00000B8gOeQAJ,100.0,85.225,161377.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuziUAC
0034K00000AAq5WQAT,100.0,76.135,1000894.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuzjUAC
0034K00000B8gNrQAJ,100.0,76.135,397423.0,3.0,1.0,a0R4K000001z16cUAA,a0P4K000001LuzkUAC
0034K00000B8gNvQAJ,100.0,88.635,311286.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzqUAC
0034K00000AApMVQA1,100.0,0.0,194795.0,1.0,2.0,a0R4K000001z16cUAA,
0034K00000B8gNtQAJ,100.0,47.725,231664.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzsUAC
0034K00000BBF44QAH,100.0,73.865,36790.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuztUAC
0034K00000B8gOEQAZ,100.0,0.0,3049.0,1.0,1.0,a0R4K000001z16cUAA,a0P4K000001LuzuUAC
0034K000009yExdQAE,100.0,88.635,214119.0,3.0,2.0,a0R4K000001z16cUAA,
0034K00000AApmnQAD,100.0,94.315,380076.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzwUAC
0034K00000B8gOMQAZ,100.0,92.045,45099.0,1.0,1.0,a0R4K000001z16cUAA,a0P4K000001LuzxUAC
0034K00000B8gNuQAJ,100.0,97.725,143776.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001LuzyUAC
0034K00000B8gONQAZ,100.0,87.5,309661.0,2.0,3.0,a0R4K000001z16cUAA,a0P4K000001LuzzUAC
0034K00000B8gORQAZ,100.0,79.545,308946.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv00UAC
0034K00000B8gOOQAZ,100.0,92.045,418690.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv01UAC
0034K00000B8gOZQAZ,100.0,56.815,214637.0,3.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv02UAC
0034K00000BAy38QAD,100.0,69.32,196362.0,3.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv04UAC
0034K00000AAq56QAD,100.0,84.09,310448.0,3.0,3.0,a0R4K000001z16cUAA,a0P4K000001Lv07UAC
0034K00000B8gO5QAJ,100.0,72.725,8283.0,2.0,1.0,a0R4K000001z16cUAA,a0P4K000001Lv08UAC
0034K00000B8gOUQAZ,100.0,95.455,71651.0,2.0,2.0,a0R4K000001z16cUAA,a0P4K000001Lv09UAC
