hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BAy36QAD,63.0,82.7325,303945.0,2.0,2.0,a0R4K0000020w1ZUAQ,
0034K00000B8gNtQAJ,100.0,0.0,194355.0,1.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx37UAA
0034K00000BAy34QAD,100.0,88.8,748422.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx2xUAA
0034K00000B8gOhQAJ,100.0,71.51,127330.0,2.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx2yUAA
0034K00000B8gOQQAZ,100.0,69.2775,285917.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx2zUAA
0034K00000BAy3UQAT,100.0,91.58,1014975.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx30UAA
0034K00000B8gO3QAJ,96.0,69.85333333,656279.0,2.0,3.0,a0R4K0000020w1ZUAQ,
0034K00000BAy2zQAD,100.0,80.35,31421.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx33UAA
0034K00000B8gO7QAJ,100.0,75.6025,506618.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx34UAA
0034K00000AAqO5QAL,100.0,69.3775,463996.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx35UAA
0034K00000AApmnQAD,100.0,90.355,332089.0,2.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx39UAA
0034K00000B8gOMQAZ,47.0,50.0,8479.0,1.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3AUAQ
0034K00000B8gNuQAJ,100.0,96.9175,900488.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3BUAQ
0034K00000B8gONQAZ,96.0,73.1,878855.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3CUAQ
0034K00000B8gORQAZ,100.0,86.25,433339.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3DUAQ
0034K00000BAy38QAD,100.0,86.2175,159174.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3EUAQ
0034K00000AAq56QAD,100.0,82.5225,535504.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3FUAQ
0034K00000B8gO5QAJ,100.0,42.03333333,168444.0,3.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3GUAQ
0034K00000B8gOUQAZ,92.0,79.97,246913.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3HUAQ
0034K00000B8gO6QAJ,100.0,78.155,551986.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3JUAQ
0034K00000AAqLlQAL,100.0,83.3525,157068.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3KUAQ
0034K00000B8gNsQAJ,100.0,90.7625,370380.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3LUAQ
0034K00000B8gOIQAZ,96.0,81.525,462981.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3MUAQ
0034K00000BBEtyQAH,92.0,82.735,410830.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3NUAQ
0034K00000B8gO2QAJ,100.0,97.8925,343065.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3PUAQ
0034K00000B8gO9QAJ,100.0,0.0,483447.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3QUAQ
0034K00000AAp6EQAT,100.0,79.56,541088.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3RUAQ
0034K00000B8gOYQAZ,100.0,74.5675,480523.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3SUAQ
0034K00000B8gOWQAZ,100.0,0.0,18405.0,0.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3TUAQ
0034K00000B8gOkQAJ,100.0,88.405,528185.0,2.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3WUAQ
0034K00000B8gOKQAZ,100.0,71.9,297704.0,3.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3YUAQ
0034K00000BBF3uQAH,100.0,88.7325,1026442.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3aUAA
0034K00000BAy3XQAT,100.0,95.6375,291274.0,2.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3bUAA
0034K00000B8gOfQAJ,100.0,80.8575,180481.0,3.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3cUAA
0034K00000B8gOHQAZ,100.0,78.7175,217745.0,2.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3dUAA
0034K00000B8gO8QAJ,100.0,83.22,67134.0,2.0,1.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3eUAA
0034K00000B8gOTQAZ,100.0,71.655,1028491.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3fUAA
0034K00000B8gO4QAJ,96.0,83.36,363925.0,3.0,3.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3gUAA
0034K00000B8gOiQAJ,100.0,79.925,503760.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3hUAA
0034K00000B8gOVQAZ,88.0,68.035,52534.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3iUAA
0034K00000B8gNxQAJ,100.0,66.0375,210513.0,2.0,2.0,a0R4K0000020w1ZUAQ,a0P4K000000fx3jUAA
