hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K00000BAy34QAD,100.0,93.18,887219.0,2.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx1fUAA
0034K00000B8gOhQAJ,100.0,74.035,137896.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx1hUAA
0034K00000B8gOQQAZ,100.0,78.3825,840909.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx1iUAA
0034K00000BAy3UQAT,100.0,79.545,1612422.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx1jUAA
0034K000009yddnQAA,100.0,90.905,703365.0,1.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx1kUAA
0034K00000BAy2zQAD,100.0,88.39,57391.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx1mUAA
0034K00000B8gO7QAJ,100.0,72.185,741133.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx1nUAA
0034K00000AAqO5QAL,100.0,62.3675,482327.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx1oUAA
0034K00000B8gNtQAJ,98.0,31.8175,439876.0,3.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx1vUAA
0034K00000B8gOEQAZ,91.0,0.0,0.0,0.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx1xUAA
0034K00000AApmnQAD,100.0,95.825,1069021.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx1zUAA
0034K00000B8gOMQAZ,79.0,84.1125,101250.0,3.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx20UAA
0034K00000B8gNuQAJ,96.0,97.2325,766073.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx21UAA
0034K00000B8gONQAZ,100.0,70.01,858553.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx22UAA
0034K00000B8gORQAZ,100.0,83.495,509545.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx23UAA
0034K00000BAy38QAD,100.0,83.3775,165643.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx26UAA
0034K00000AAq56QAD,98.0,72.035,683603.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx27UAA
0034K00000B8gO5QAJ,100.0,40.9075,194599.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx28UAA
0034K00000B8gOUQAZ,93.0,88.24,406865.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx29UAA
0034K00000BAy3NQAT,100.0,36.365,372467.0,2.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2AUAQ
0034K00000B8gO6QAJ,100.0,70.5525,833401.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2CUAQ
0034K00000AAqLlQAL,100.0,73.9375,230610.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2DUAQ
0034K00000B8gNsQAJ,100.0,83.3025,476911.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2GUAQ
0034K00000B8gOIQAZ,100.0,84.4875,659430.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2IUAQ
0034K00000BBEtyQAH,100.0,80.385,571930.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2LUAQ
0034K00000AAqLcQAL,56.0,0.0,0.0,0.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2MUAQ
0034K00000B8gO2QAJ,100.0,95.5025,623616.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2PUAQ
0034K00000B8gO9QAJ,100.0,60.82,557044.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2QUAQ
0034K00000AAp6EQAT,98.0,75.0475,593776.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2RUAQ
0034K00000B8gOYQAZ,100.0,69.17,487248.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2TUAQ
0034K00000B8gOWQAZ,98.0,84.485,948714.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2UUAQ
0034K00000BAy31QAD,100.0,40.91,865077.0,1.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2VUAQ
0034K00000B8gOXQAZ,100.0,0.0,273107.0,1.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2WUAQ
0034K00000B8gOkQAJ,100.0,78.68,699405.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2XUAQ
0034K00000BBF3wQAH,89.0,0.0,102612.0,0.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2YUAQ
0034K00000B8gOKQAZ,99.0,73.4925,707059.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2ZUAQ
0034K00000B8gO0QAJ,56.0,0.0,117687.0,0.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2bUAA
0034K00000BBF3uQAH,100.0,85.5225,1245754.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2cUAA
0034K00000BAy3XQAT,100.0,85.425,609263.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2dUAA
0034K00000B8gOfQAJ,100.0,89.4725,92445.0,3.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2gUAA
0034K00000B8gOHQAZ,100.0,83.3475,718650.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2iUAA
0034K00000B8gO8QAJ,100.0,83.9425,202356.0,3.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx2jUAA
0034K00000B8gOTQAZ,100.0,86.215,919680.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2lUAA
0034K00000B8gO4QAJ,100.0,80.335,715787.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2mUAA
0034K00000B8gOiQAJ,100.0,68.0325,725289.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2oUAA
0034K00000B8gOVQAZ,86.0,72.01,327311.0,3.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2pUAA
0034K00000B8gNxQAJ,96.0,71.17,446935.0,1.0,2.0,a0R4K000001z5C4UAI,a0P4K000000fx2qUAA
0034K00000BBF49QAH,100.0,49.24333333,580950.0,3.0,3.0,a0R4K000001z5C4UAI,a0P4K000000fx2sUAA
0034K00000B8gNvQAJ,91.0,0.0,704.0,0.0,1.0,a0R4K000001z5C4UAI,a0P4K000000fx1tUAA
