hed__Contact__c,mor_Attendance_Score__c,IP_Grade_Average__c,mor_Total_Activity_Time__c,Participations_Level__c,Page_Views_Level__c,hed__Course_Offering__c,Prerequisite_Course_Connection__c
0034K000009yExdQAE,100.0,80.2725,677572.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1yUAA
0034K00000B8gNoQAJ,100.0,77.0775,170711.0,3.0,1.0,a0R4K000001z5CJUAY,a0P4K000000fx2rUAA
0034K00000B8gNrQAJ,100.0,79.0175,1639802.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1sUAA
0034K00000I8Q8EQAV,100.0,79.725,803982.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx2JUAQ
0034K00000B8gNyQAJ,100.0,43.9225,1299760.0,3.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx2KUAQ
0034K00000B8gO1QAJ,100.0,78.545,368372.0,2.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx1gUAA
0034K00000B8gOBQAZ,100.0,90.3275,1374214.0,2.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx2nUAA
0034K00000B8gOFQAZ,100.0,73.2575,543047.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx2BUAQ
0034K00000B8gOOQAZ,100.0,84.8425,861512.0,2.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx24UAA
0034K00000B8gOZQAZ,100.0,22.80666667,429706.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx25UAA
0034K00000AAq5WQAT,100.0,65.5725,1851539.0,3.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx1rUAA
0034K00000B8gOeQAJ,100.0,92.7825,568841.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1qUAA
0034K00000AAheMQAT,100.0,0.0,389206.0,1.0,1.0,a0R4K000001z5CJUAY,a0P4K000000fx2OUAQ
0034K00000B8gOmQAJ,100.0,6.58,481910.0,2.0,1.0,a0R4K000001z5CJUAY,a0P4K000000fx2fUAA
0034K00000BAy3DQAT,100.0,92.2375,1159831.0,3.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx2hUAA
0034K00000BAy3KQAT,100.0,79.6575,1217004.0,3.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1pUAA
0034K00000BAy3eQAD,100.0,15.1325,265850.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx2EUAQ
0034K00000BBF3vQAH,100.0,91.5225,1114981.0,3.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx2SUAQ
0034K00000BBF44QAH,100.0,69.8175,164217.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1wUAA
0034K00000BBPB8QAP,100.0,90.15,975397.0,2.0,3.0,a0R4K000001z5CJUAY,a0P4K000000fx2aUAA
0034K00000B8gNvQAJ,100.0,82.565,747298.0,2.0,2.0,a0R4K000001z5CJUAY,a0P4K000000fx1tUAA
0034K00000AApoWQAT,100.0,0.0,215043.0,1.0,1.0,a0R4K000001z5CJUAY,a0P4K000000fx2FUAQ
